uir emborcar
desestimular concitar
enfurecido bonança
alçar desmontar
abrilhantado desguarnecido
aclarar setear
endireitar achatar
achegar vastar
recompor estrompar
arquitetar derribar
desatordoar azuretar
desabituado aclimado
improvar louvar
rofo prefulgente
amarrar denodar
ânimo langor
variável invariável
degradante enobrecedor
irrefreável coercível
eclosão desaparecimento
desentrosar compatibilizar
externação internalização
arquitetar aluir
exagerado prudente
direito indecente
desembriagar embriagar
aclarar marear
importuno próprio
bestializar desbarbarizar
desprimoroso magistral
cortesmente rudemente
desarmonizar ornar
molificar encruar
malcriadez amabilidade
aclarar abaçanar
franco mofino
desmanchar corrigir
desalinhar emoldurar
desenlamear sujar
preocupação requietude
ocultar descobrir
partida vinda
perecedouro imortal
usufruir carecer
agitar amansar
remissão imisericórdia
desconciliar reunir
deturbar repousar
suprimir adicionar
tardança aceleração
dividir paziguar
aquebrantar seguir
desenlambuzar mascarrar
alinhado malvestido
desentulhar empanturrar
desafogo opressão
recrescer amainar
conturbar contemporizar
largo somítico
prevenção imprecaução
desanojar saturar
marchar retroceder
expulsar alojar
equilibrado amalucado
inflar envilecer
validar viciar
enternecer emperrar
avernal celeste
aguçado embotado
enaltar demolir
difundir conglobar
medroso valente
calma tumulto
fiel atraiçoado
generalizar especializar
confidenciar proclamar
desencaixotar encaixotar
anêmico robusto
aclarar quartejar
afrouxar esmagar
desencaminhar ensoar
degenerescência regeneração
apetite insensibilidade
iluminar desclassificar
alto tacanho
inimizar harmonizar
desinfetação inficionação
malsão são
valorar abaratear
desgostoso sabável
benfazente maldadoso
afabilidade malignidade
poupado profuso
propínquo remontado
temperado inclemente
fazer aluir
desbravecer embravecer
malquistar concertar
fôlego lassitude
cultivado inculto
volta partida
descobrir tapar
encorajar transir
arranjar arruinar
gelar desenregelhar
excelência torpeza
desamolgar marlotar
alocrônico tautócrono
desunir soldar
indeformável deformável
perder deparar
languescer endurecer
desabrigar abrigar
desencalmar irar
enfraquentar desenervar
subir exportar
franco miserável
exceder comedir
recrudescer abemolar
amparo desajuda
conhecimento ignoração
agitação paciência
sustentar desgastar
adjunto apartado
dilação aceleração
desobstruir pejar
fluidez solidez
largo avaro
enferrujar lustrar
aparecimento desaparecimento
inarticulado articulado
afortunado infortunoso
convencer descapacitar
desenjoar destroçar
socar extravasar
concordante ábsono
satisfeito insatisfeito
desacorde melódico
calar demonstrar
querença inimizade
amar ojerizar
desinibido acanhado
facilitar obstaculizar
vitrescível invitrescível
tenso relaxado
ativo preguiceiro
catinguento almiscarado
desrugar franzir
alquebrar tonificar
desmazelo zelo
elevar desmoronar
alvorecer escurecer
espaventar quietar
desalinhar ornar
livre atrancado
sedução repugnância
desencobrir enroupar
desaromar perfumar
aplanar empachar
impropriedade caraterística
alegrar atristar
inofensivo nóxio
desenrolar enovelar
desentumecer opar
liar desconectar
desenfado fadiga
extrovertido reservado
infecundo ubertoso
parcimonioso imoderado
desacomodar hospedar
desempachar obturar
desencaixar calar
sujeitar exculpar
recrescer apagar
exceder conter
afoguear enlividecer
acatingado embalsamado
animar esfazer
recrescer suavizar
considerado arrebatado
desestimular afoguear
perecedor imperecedor
desentoado sonoro
contravir trilhar
desembaraçar enlear
afeiçoar desafeiçoar
desarmonizar combinar
temporâneo durável
aventurado desaventurado
malcheiroso cheiroso
desencasquetar insistir
despiedar lastimar
instruído ignaro
acrasia comedimento
próspero desafortunado
frígido bochornal
profundez futilidade
desprecatar vigiar
rofo rutilante
anortear desnortear
desenraivecer revoltar
desamotinar sublevar
desataviar aparelhar
acalmar espevitar
expansivo carifranzido
desconfortável aconchegado
comezinho ruidoso
improlífero fecundo
possuir necessitar
transpassar cumprir
assissado desajuizado
infrutífero útil
firmar desarrimar
adamado viril
angariar perder
indecência modéstia
constante inconstante
francófilo galófobo
simplificar encrencar
heroificar desenobrecer
incluir excluir
inconveniente indicado
discórdia consenso
governado esbanjador
prender desafixar
desanimar desmodorrar
apegado apartado
disturbar aquietar
alvorotar aleijar
adequação inconformidade
tranquilizar postemar
desrugado amarrotado
prezar conculcar
assetar galonar
desfear galantear
dissenso concórdia
contentar escandalizar
debilidade potência
irrequietação quietitude
aconchegar arrancar
rapidez delonga
libertar desjungir
contemplação desconsideração
agradar vulnerar
vascolejar aquedar
abrilhantado simples
desencoscorar franzir
desenredar embaraçar
desassombrar encobrir
rolar antecipar
desensopar empapar
entibiar robustecer
agrário urbano
cachear desanelar
convenientemente inconvenientemente
desencruar remorder
glacial calmoroso
circunspeto folgazão
apercebido imprudente
esnobismo desafetação
apoteotizar imprecar
desadormecer entorpecer
implicitamente explicitamente
entesado relaxado
alquebrar retemperar
confidenciar divulgar
desencolerizar azedar
bizarria simplez
regressão saída
anarquizar organizar
austeridade blandície
desagastar zangar
fino ordinário
embrutar desmoitar
amoldamento desajustamento
circunspeto chafalhão
desconjunto pegado
abnuir anuir
desalagar embaraçar
desalgemar manietar
direito curvo
desacondicionar engrenar
adular escarnecer
prolongar compactar
esbanjar desaproveitar
sereno cerrado
decisão perplexidez
catingante aromatizado
represado incontido
desfear formosentar
desamolgar manusear
apelabilidade inapelabilidade
surgimento desaparecimento
desacoutar homiziar
desempecilhar tomar
queimar condutar
desvincilhar enlaçar
mórbido são
vicejante ressequido
desencravilhar encravelhar
tranquilizar arrebatar
inquieto calmo
ridículo apreciável
enviçado márcido
desaprazível agradável
rudeza lhaneza
desamparar favorecer
segmentação indivisão
desmerecimento merecimento
acalmar estomagar
abrir fechar
empolado manso
medrar abortar
mazelar enaltar
enlanguescer avigorar
humildoso ruidoso
unir distanciar
recrudescer atenuar
cadimo inusual
enxugar embeber
medroso alto
arrumar minar
violento remansado
desaliar relacionar
ignavo impertérrito
desajeitar amoldar
contravir cumprir
comer embornalar
propínquo remoto
principiar terminar
irreparabilidade corrigibilidade
nexo ilogicidade
esquerdo mandestro
tangibilidade intangibilidade
fraco longânime
estugar entravar
bravio dormente
singelo hipócrita
elogiar assetar
encarapelar desencarapelar
desfear paramentar
aumentar afroixar
sobrevida vida
alumbrar setear
infringir respeitar
adentado edentulado
amolegar encruecer
estável variável
desangustiar devorar
desinibido encabulado
desentenebrecer desonrar
obscuro proverbial
desagasalhar cobrir
elegante gebo
enrudecer civilizar
fedido aromado
inflexível dócil
desacoitar colher
alentar anemiar
enfraquecer afortalezar
espalhado junto
fiel inveraz
medroso intérrito
letificar suscetibilizar
gostar odiar
perfeitamente incompletamente
desenfeitar formosentar
descolorir matizar
alimpar enlodar
refazer molestar
congelar degelar
enredo deslinde
firmado inseguro
