conhecimento escola
indolente omisso
canhambola quilombola
constante frequente
pretender visar
calar mentir
passadio vivenda
fixar mandar
bandear passar
persigal presepe
agoirar profetizar
lembrar relembrar
aproximar puxar
amortecer esmaecer
cerrar encangotar
falência falimento
anátema excomungação
sobreexcedido ultrapassado
carrancudo sobrancelhudo
gatear rapinhar
consolador solaz
bastonada bordoada
assombrar assustar
firme segurado
caluniar desonestar
columbino virgem
diluir moderar
agência diligência
deposição destronização
desembuçar respirar
afiar esmerilar
apoiar laurear
firmeza seguridade
gastar ir
aprumar perfilar
abstruso esconso
agitar desassossegar
depreciar desfavorecer
base fundação
precatadamente prevenidamente
alardear gargantear
pequeno pequerrucho
pundonoroso reto
desenxabimento mornidão
acabar executar
esticar inteiriçar
caronear desvairar
endoidecer endoudar
algazarra babel
pressuposto pretexto
progressão progresso
espicaçar magoar
arrojado intérrito
enlear enredar
luxurioso obsceno
desabotinado estoirado
comandar conduzir
apagar debotar
contar dizer
maciar mitigar
desvanecer varrer
banhar lavar
aparado aposto
afetível simpático
desaparecer perder
açoiteira chicote
carteira escrivaninha
apontar extravasar
amarfanhar torturar
adelgaçar engoiar
molecada pirralhada
extravasar redundar
descapacitar desimaginar
silencioso taciturno
ascoroso nauseabundo
destinar empregar
elucidar explicar
pandilha pandilheiro
ceder diminuir
migalha migalho
refrear vencer
amolar massacrar
aprisionar pegar
palatal palatinal
insuperável invencível
infindo infinito
alegre travesso
rateio repartição
enfatuamento entufamento
espanar espoar
asselvajado rude
aldeia póvoa
subtilidade talento
amontoar conglobar
acontecimento evento
aspecto traço
patrono protetor
obsediar rascar
denunciar revelar
desadorar intoxicar
apisoar suplantar
atinado ponderado
deportado êxule
desavergonhado petulante
afrouxar malear
malcontente triste
mazanza zopeiro
alfaiado engalanado
deslisar turibular
alúvio inundação
cacerenga caxirenguengue
doca zerê
arribana rancho
colorear sazonar
eremita ermita
encurvar prostrar
brilhantismo majestade
arreado empenado
desperdiçante esperdiçante
traça traçado
desonestar infamar
sugerir suscitar
alentado encorajado
hora tempo
encasamento engrenamento
decaída decaimento
embrenhar fundir
descurar desleixar
cingir coagir
excelência magnificência
flagelação martirização
execrável trasvisto
abrigar garantir
desenlambuzar mundificar
nauseante nauseoso
galardoar pagar
escusar ressalvar
roubar sonegar
sandio tolo
aformosear embrincar
dividir ratear
transferir transpassar
alquebrado debilitado
idéia mente
aplicar empregar
desflorescimento fenecimento
alanhar ansiar
luzir prefulgir
desembuçar evidenciar
atarraxar tarraxar
rever ver
dignidade gravidade
iludir velhaquear
acobardado atemorado
modicar sopitar
gastador perdulário
acordar concitar
aldeia vilarinho
lapidificação petrificação
admirado banzado
cerzir intervalar
prorrogar protrair
apezinhar desconsiderar
extravagante incrível
azoretar estontecer
esplender resplender
atraiçoado engazopado
desfechar finalizar
botar embotar
garotar vagamundear
consternação pesadume
exoneração isenção
aluir dirruir
entranqueirar fortificar
encher enquizilar
assoberbante fatigante
cadaveroso mortuoso
rabo rasto
adversidade contratempo
afiambrar galanear
pilhar saquear
fumarar vaporar
abodegar enquizilar
apoquentar causticar
acerbidade austeridade
devorar dilapidar
destoante malsoante
esporada ferroada
animoso brioso
extransível ultransível
escolher seletar
lançar projetar
endeusar enfunar
alto exímio
cediço prosaico
desvanecer garguitear
desmodorrar excitar
concepção formulação
coruscar lustrar
chocho pacóvio
haraganar preguiçar
correto probo
pejado vergonhoso
afeiar desguarnecer
extraordinário invulgar
esvaecer expungir
fiscalizar patrulhar
baldio improducente
balcedoso lameirento
apascentar folgazar
azoeirado embaraçado
alojamento instalação
deitar pôr
desmelhorar minar
encostar zurzir
exalar externar
gatimonha micagem
embalançar menear
arranhão raspão
ainda demais
comer nutrir
bambalhão preguicento
afastar retirar
auricomado aurícomo
entenebrecer sombrear
desassombrado foito
amadurar amadurecer
antitético oposto
compor unir
acasmurrado porfiado
adiposidade corpulência
investigar perquirir
devoção entrega
agradável macio
septuagenário setuagenário
adereçado aparamentado
fabuloso quimérico
apavorar espavorizar
capengante carapé
agastadiço tomadiço
apodrecer desconsertar
fortalecer renovar
cativante sedutor
encher recamar
desencontrar dissentir
noitada noutada
desbravar domesticar
versejar versificar
compungir entristecer
amontoar forrar
carregado intenso
prescrição provisão
agenda caderneta
enaltar levantar
afouto teso
aferrado insistente
carneiro ossuário
rigidez severidade
delapidar entornar
palmar roubar
absolver escusar
bengalada sarrafada
aquecer indignar
conglobar reunir
quitar separar
imprimir tipografar
encoimar increpar
estufa fogão
argentado prateado
arremessar propelir
abrilhantado adereçado
chalacear vasconcear
pleito sabatina
desfechar rebentar
açucarar dulcificar
calmante sedativo
bafejar encorajar
sequência transcorrência
efeituar realizar
abatimento quebrantamento
entoar soar
acovar cravar
abranger incluir
característica particularidade
coluna pilar
miserável sovina
anunciar expedir
solução terminação
arreliar encalmar
aspergido borrifado
desvergonha impudência
enunciar mencionar
açouteira rebenque
petrechar premunir
desligar separar
ludibriar pantomimar
balanquear pespontar
fúlgido resplendoroso
patifaria velhacaria
enchoiriçar flagelar
esfazer gastar
ferretoar increpar
atontear azamboar
acairelar cairelar
desmemoriamento esquecimento
cachar capear
enegrecido manchado
lixento porco
afadigado afanado
